repeat,items,salesAMT/total,Mcode
3,1,0.268808267,5
3,1,0.278118175,5
3,1,0.453073558,5
3,2,0.24936775,2
3,2,0.242369383,2
3,2,0.354958721,2
3,2,0.352800608,2
3,2,0.395673529,2
3,2,0.404830008,2
3,1,0.237357523,5
3,1,0.384466497,5
3,1,0.378175981,5
3,1,0.221883566,4
3,1,0.334646176,4
3,1,0.443470258,4
3,1,0.202241507,5
3,1,0.285223956,5
3,1,0.512534537,5
3,3,0.163907299,2
3,3,0.070029871,2
3,3,0.161570647,2
3,3,0.365606512,2
3,3,0.427314968,2
3,3,0.392661732,2
3,3,0.470486188,2
3,3,0.502655161,2
3,3,0.445767621,2
3,2,0.235428924,4
3,2,0.250538241,4
3,2,0.411403309,4
3,2,0.249994774,4
3,2,0.353167766,4
3,2,0.499466984,4
3,6,0.250967691,2
3,6,0.00472858,2
3,6,0.16692277,2
3,6,0.333344091,2
3,6,0.333333333,2
3,6,0.003419271,2
3,6,0.250967691,2
3,6,0.334878003,2
3,6,0.388667739,2
3,6,0.167462725,2
3,6,0.333333333,2
3,6,0.003419271,2
3,6,0.498064618,2
3,6,0.660393418,2
3,6,0.444409491,2
3,6,0.499193184,2
3,6,0.333333333,2
3,6,0.993161458,2
3,1,0.272572018,4
3,1,0.43374308,4
3,1,0.293684902,4
2,2,0.411510387,2
2,2,0.348568123,2
2,2,0.588489613,2
2,2,0.651431877,2
3,1,0.237811807,3
3,1,0.312897931,3
3,1,0.449290262,3
3,2,0.143241347,1
3,2,0.208579765,1
3,2,0.327934986,1
3,2,0.305496412,1
3,2,0.528823667,1
3,2,0.485923823,1
3,1,0.248692747,5
3,1,0.32580856,5
3,1,0.425498693,5
3,1,0.178252306,3
3,1,0.349434523,3
3,1,0.472313171,3
3,1,0.239124203,3
3,1,0.266015097,3
3,1,0.4948607,3
2,1,0.318387219,5
2,1,0.681612781,5
3,1,0.197962,4
3,1,0.382018894,4
3,1,0.420019106,4
3,1,0.208756453,3
3,1,0.279896983,3
3,1,0.511346564,3
3,1,0.259355402,5
3,1,0.356987423,5
3,1,0.383657174,5
3,1,0.190288736,5
3,1,0.399884906,5
3,1,0.409826358,5
3,4,0.215436756,2
3,4,0.162898981,2
3,4,0.113780025,2
3,4,0.300274127,2
3,4,0.51858309,2
3,4,0.412241042,2
3,4,0.388488139,2
3,4,0.448372812,2
3,4,0.265980154,2
3,4,0.424859977,2
3,4,0.497731836,2
3,4,0.251353061,2
3,1,0.198262567,5
3,1,0.355808704,5
3,1,0.445928729,5
3,1,0.213310024,4
3,1,0.43072969,4
3,1,0.355960287,4
3,1,0.201310912,4
3,1,0.347391608,4
3,1,0.45129748,4
3,3,0.166421682,2
3,3,0.135209038,2
3,3,0.337545661,2
3,3,0.269007322,2
3,3,0.514283658,2
3,3,0.222331918,2
3,3,0.564570997,2
3,3,0.350507304,2
3,3,0.440122421,2
3,1,0.177058075,4
3,1,0.36111971,4
3,1,0.461822215,4
3,6,0.250029742,2
3,6,0.111924387,2
3,6,0.00108769,2
3,6,0.443850958,2
3,6,0.332911136,2
3,6,0.98648466,2
3,6,0.37403339,2
3,6,0.332558954,2
3,6,0.200439427,2
3,6,0.00107689,2
3,6,0.334177728,2
3,6,0.00675767,2
3,6,0.375936868,2
3,6,0.55551666,2
3,6,0.798472884,2
3,6,0.555072152,2
3,6,0.332911136,2
3,6,0.00675767,2
3,1,0.206619147,4
3,1,0.304439504,4
3,1,0.488941349,4
3,2,0.174288375,2
3,2,0.376643542,2
3,2,0.34857675,2
3,2,0.307395627,2
3,2,0.477134875,2
3,2,0.31596083,2
3,1,0.200616907,4
3,1,0.331439625,4
3,1,0.467943468,4
3,1,0.20009002,3
3,1,0.370800769,3
3,1,0.429109211,3
3,1,0.146668727,3
3,1,0.23962402,3
3,1,0.613707253,3
2,2,0.218065596,4
2,2,0.835492019,4
2,2,0.781934404,4
2,2,0.164507981,5
2,1,0.398924447,5
2,1,0.601075553,5
3,4,0.125759993,1
3,4,0.083388074,1
3,4,0.098445249,1
3,4,0.253523672,1
3,4,0.339482627,1
3,4,0.297423546,1
3,4,0.332529152,1
3,4,0.250993856,1
3,4,0.53475738,1
3,4,0.61918838,1
3,4,0.5690256,1
3,4,0.495482472,1
3,4,0.105920428,2
3,4,0.149922471,2
3,4,0.267888928,2
3,4,0.144674299,2
3,4,0.30264674,2
3,4,0.25389154,2
3,4,0.004449982,2
3,4,0.333266385,2
3,4,0.591432832,2
3,4,0.596185988,2
3,4,0.727661089,2
3,4,0.522059316,2
2,1,0.330035643,5
2,1,0.669964357,5
3,1,0.244367072,5
3,1,0.356874243,5
3,1,0.398758684,5
3,1,0.190073952,5
3,1,0.344549023,5
3,1,0.465377025,5
3,1,0.20541352,5
3,1,0.359212954,5
3,1,0.435373526,5
3,1,0.232556815,5
3,1,0.264802806,5
3,1,0.502640379,5
3,1,0.229878086,5
3,1,0.351515046,5
3,1,0.418606868,5
3,1,0.179763138,4
3,1,0.339478543,4
3,1,0.480758319,4
3,1,0.218125851,5
3,1,0.310634646,5
3,1,0.471239503,5
3,2,0.22933398,4
3,2,0.172948358,4
3,2,0.246446044,4
3,2,0.50009689,4
3,2,0.524219976,4
3,2,0.326954752,4
3,1,0.206867926,5
3,1,0.302557971,5
3,1,0.490574103,5
3,1,0.206043493,4
3,1,0.360522834,4
3,1,0.433433673,4
3,2,0.160229897,2
3,2,0.165655038,2
3,2,0.26124868,2
3,2,0.289318501,2
3,2,0.578521423,2
3,2,0.545026461,2
2,1,0.225192802,5
2,1,0.774807198,5
3,1,0.185950272,2
3,1,0.412839016,2
3,1,0.401210712,2
3,2,0.228926097,1
3,2,0.221816064,1
3,2,0.457578704,1
3,2,0.503380455,1
3,2,0.313495199,1
3,2,0.274803481,1
3,1,0.141734078,2
3,1,0.335649994,2
3,1,0.522615928,2
3,2,0.113508505,1
3,2,0.198396585,1
3,2,0.36084453,1
3,2,0.433442657,1
3,2,0.525646965,1
3,2,0.368160758,1
3,1,0.140738425,3
3,1,0.317367091,3
3,1,0.541894484,3
2,1,0.328230079,5
2,1,0.671769921,5
3,1,0.224337494,4
3,1,0.340464705,4
3,1,0.4351978,4
3,1,0.181494269,5
3,1,0.301343944,5
3,1,0.517161787,5
3,1,0.167563839,4
3,1,0.334624832,4
3,1,0.49781133,4
3,1,0.214127259,5
3,1,0.385794377,5
3,1,0.400078363,5
3,2,0.270441726,4
3,2,0.103944291,4
3,2,0.333660538,4
3,2,0.33376883,4
3,2,0.395897736,4
3,2,0.562286879,4
2,1,0.348442047,5
2,1,0.651557953,5
3,1,0.247606218,5
3,1,0.363787793,5
3,1,0.388605989,5
3,1,0.222577624,5
3,1,0.330334273,5
3,1,0.447088103,5
2,1,0.348295927,5
2,1,0.651704073,5
3,4,0.082331744,2
3,4,0.098244388,2
3,4,0.117892524,2
3,4,0.0037103,2
3,4,0.323488494,2
3,4,0.292985774,2
3,4,0.282993024,2
3,4,0.374295043,2
3,4,0.594179761,2
3,4,0.608769838,2
3,4,0.599114452,2
3,4,0.621994657,2
3,3,0.130564803,2
3,3,0.191532089,2
3,3,0.054827009,2
3,3,0.32367545,2
3,3,0.407915656,2
3,3,0.319335938,2
3,3,0.545759747,2
3,3,0.400552255,2
3,3,0.625837054,2
3,6,0.112281322,2
3,6,0.001431107,2
3,6,0.059352656,2
3,6,0.176775975,2
3,6,0.002533056,2
3,6,0.002286028,2
3,6,0.112281322,2
3,6,0.399708054,2
3,6,0.352899721,2
3,6,0.293774674,2
3,6,0.334160798,2
3,6,0.333714338,2
3,6,0.775437356,2
3,6,0.598860839,2
3,6,0.587747623,2
3,6,0.529449351,2
3,6,0.663306145,2
3,6,0.663999634,2
3,1,0.134987837,5
3,1,0.367409712,5
3,1,0.497602451,5
3,2,0.337005944,3
3,2,0.258077022,3
3,2,0.368063969,3
3,2,0.381235461,3
3,2,0.294930087,3
3,2,0.360687516,3
3,1,0.210309418,5
3,1,0.398182818,5
3,1,0.391507764,5
3,1,0.240338164,3
3,1,0.467048814,3
3,1,0.292613022,3
3,1,0.172477609,2
3,1,0.381808627,2
3,1,0.445713763,2
3,1,0.159298317,3
3,1,0.363009532,3
3,1,0.477692152,3
3,1,0.172794661,4
3,1,0.285704285,4
3,1,0.541501054,4
3,1,0.187577776,4
3,1,0.42601228,4
3,1,0.386409944,4
3,1,0.160607977,5
3,1,0.22908915,5
3,1,0.610302872,5
2,1,0.340892764,5
2,1,0.659107236,5
3,4,0.150895831,2
3,4,0.168182458,2
3,4,0.159065628,2
3,4,0.200213371,2
3,4,0.335232607,2
3,4,0.250654653,2
3,4,0.315906563,2
3,4,0.319345661,2
3,4,0.513871561,2
3,4,0.581162889,2
3,4,0.525027809,2
3,4,0.480440967,2
3,1,0.180566452,3
3,1,0.32857367,3
3,1,0.490859878,3
3,1,0.235370397,5
3,1,0.332834113,5
3,1,0.43179549,5
2,1,0.334626181,5
2,1,0.665373819,5
3,1,0.194124079,5
3,1,0.346373414,5
3,1,0.459502507,5
3,1,0.258911853,5
3,1,0.376476497,5
3,1,0.36461165,5
3,3,0.191933635,2
3,3,0.106155649,2
3,3,0.078641732,2
3,3,0.388535032,2
3,3,0.356793272,2
3,3,0.475688976,2
3,3,0.419531333,2
3,3,0.537051079,2
3,3,0.445669291,2
3,1,0.131945036,4
3,1,0.304776992,4
3,1,0.563277972,4
3,4,0.215995352,2
3,4,0.136351518,2
3,4,0.272943327,2
3,4,0.349616926,2
3,4,0.323456229,2
3,4,0.333322225,2
3,4,0.093235832,2
3,4,0.250650172,2
3,4,0.460548419,2
3,4,0.530326257,2
3,4,0.633820841,2
3,4,0.399732902,2
3,2,0.140738948,4
3,2,0.19152375,4
3,2,0.530881172,4
3,2,0.308850379,4
3,2,0.32837988,4
3,2,0.499625872,4
3,1,0.149339425,4
3,1,0.382652179,4
3,1,0.468008396,4
3,1,0.124682229,4
3,1,0.388295201,4
3,1,0.48702257,4
2,1,0.307856895,5
2,1,0.692143105,5
3,2,0.29587718,1
3,2,0.224939718,1
3,2,0.278506559,1
3,2,0.316431278,1
3,2,0.425616261,1
3,2,0.458629004,1
3,1,0.231306687,2
3,1,0.309638502,2
3,1,0.459054811,2
3,1,0.242863599,3
3,1,0.332694567,3
3,1,0.424441833,3
3,1,0.178833942,4
3,1,0.300815041,4
3,1,0.520351018,4
3,1,0.199575023,5
3,1,0.282868245,5
3,1,0.517556732,5
2,1,0.289961689,5
2,1,0.710038311,5
3,4,0.170050079,1
3,4,0.13254341,1
3,4,0.043036696,1
3,4,0.122365858,1
3,4,0.264223769,1
3,4,0.238222317,1
3,4,0.437829649,1
3,4,0.399740275,1
3,4,0.565726151,1
3,4,0.629234273,1
3,4,0.519133655,1
3,4,0.477893867,1
3,4,0.183848908,2
3,4,0.218696398,2
3,4,0.192082111,2
3,4,0.192119547,2
3,4,0.316697751,2
3,4,0.32722372,2
3,4,0.285987505,2
3,4,0.285800442,2
3,4,0.499453341,2
3,4,0.454079882,2
3,4,0.521930384,2
3,4,0.522080011,2
3,1,0.210895628,5
3,1,0.388441446,5
3,1,0.400662926,5
3,1,0.193052419,5
3,1,0.343775525,5
3,1,0.463172056,5
3,1,0.235793749,5
3,1,0.377941493,5
3,1,0.386264758,5
3,1,0.195758379,5
3,1,0.386661617,5
3,1,0.417580004,5
3,1,0.195108442,5
3,1,0.447662228,5
3,1,0.35722933,5
3,1,0.221886542,5
3,1,0.332397166,5
3,1,0.445716292,5
3,1,0.155689868,4
3,1,0.286856833,4
3,1,0.557453299,4
3,3,0.198845346,2
3,3,0.138986014,2
3,3,0.058198869,2
3,3,0.329889073,2
3,3,0.26993007,2
3,3,0.315680596,2
3,3,0.471265581,2
3,3,0.591083916,2
3,3,0.626120535,2
3,2,0.176812284,4
3,2,0.158220379,4
3,2,0.308779523,4
3,2,0.386738869,4
3,2,0.514408192,4
3,2,0.455040752,4
3,1,0.220873544,4
3,1,0.295870047,4
3,1,0.483256409,4
2,1,0.423085214,5
2,1,0.576914786,5
3,2,0.128385058,3
3,2,0.210359314,3
3,2,0.329908698,3
3,2,0.266714337,3
3,2,0.541706244,3
3,2,0.52292635,3
3,1,0.282877887,3
3,1,0.401900811,3
3,1,0.315221303,3
3,1,0.180361248,2
3,1,0.339737274,2
3,1,0.479901478,2
3,1,0.254156874,3
3,1,0.397763964,3
3,1,0.348079162,3
2,1,0.320616807,5
2,1,0.679383193,5
3,1,0.276713106,3
3,1,0.320879461,3
3,1,0.402407434,3
3,4,0.156327336,2
3,4,0.145259532,2
3,4,0.183424741,2
3,4,0.168006572,2
3,4,0.415340111,2
3,4,0.355033474,2
3,4,0.408287629,2
3,4,0.37456722,2
3,4,0.428332553,2
3,4,0.499706995,2
3,4,0.408287629,2
3,4,0.457426207,2
2,1,0.375498298,5
2,1,0.624501702,5
3,1,0.271786246,5
3,1,0.290418581,5
3,1,0.437795174,5
3,1,0.259230485,5
3,1,0.368914169,5
3,1,0.371855346,5
3,1,0.275849616,5
3,1,0.410697223,5
3,1,0.313453161,5
3,1,0.226759843,5
3,1,0.349471621,5
3,1,0.423768536,5
3,1,0.193594877,4
3,1,0.396557488,4
3,1,0.409847635,4
3,1,0.255143123,5
3,1,0.342467814,5
3,1,0.402389063,5
3,4,0.195704162,2
3,4,0.167410636,2
3,4,0.1675572,2
3,4,0.398061695,2
3,4,0.389618392,2
3,4,0.457699202,2
3,4,0.428780198,2
3,4,0.399952724,2
3,4,0.414677445,2
3,4,0.374890162,2
3,4,0.403662602,2
3,4,0.201985581,2
3,3,0.15367573,2
3,3,0.036549454,2
3,3,0.14740432,2
3,3,0.403961061,2
3,3,0.322882384,2
3,3,0.336112164,2
3,3,0.442363209,2
3,3,0.640568162,2
3,3,0.516483516,2
3,1,0.169387139,5
3,1,0.364917736,5
3,1,0.465695124,5
3,6,0.00780762,2
3,6,0.125800336,2
3,6,0.118026823,2
3,6,0.077407325,2
3,6,0.003789889,2
3,6,0.498287437,2
3,6,0.49609619,2
3,6,0.623528991,2
3,6,0.294106345,2
3,6,0.307779518,2
3,6,0.992420223,2
3,6,0.003425127,2
3,6,0.49609619,2
3,6,0.250670673,2
3,6,0.587866832,2
3,6,0.614813157,2
3,6,0.003789889,2
3,6,0.498287437,2
3,1,0.152199206,4
3,1,0.359161838,4
3,1,0.488638956,4
3,1,0.25641161,4
3,1,0.27085555,4
3,1,0.47273284,4
3,1,0.195535451,3
3,1,0.39713213,3
3,1,0.407332419,3
3,2,0.173369764,1
3,2,0.129790985,1
3,2,0.448702143,1
3,2,0.40695039,1
3,2,0.377928093,1
3,2,0.463258625,1
3,1,0.210024516,4
3,1,0.328180332,4
3,1,0.461795151,4
3,1,0.240085518,3
3,1,0.307993603,3
3,1,0.45192088,3
3,1,0.170224516,2
3,1,0.326160112,2
3,1,0.503615373,2
3,4,0.22925476,1
3,4,0.144534257,1
3,4,0.157821229,1
3,4,0.075438044,1
3,4,0.2499394,1
3,4,0.342571209,1
3,4,0.38257413,1
3,4,0.496799916,1
3,4,0.520805839,1
3,4,0.512894534,1
3,4,0.459604641,1
3,4,0.42776204,1
3,1,0.215670756,3
3,1,0.346864969,3
3,1,0.437464275,3
3,4,0.20600721,2
3,4,0.137726612,2
3,4,0.275964677,2
3,4,0.224743489,2
3,4,0.392338533,2
3,4,0.34047273,2
3,4,0.225523133,2
3,4,0.442975533,2
3,4,0.401654257,2
3,4,0.521800658,2
3,4,0.49851219,2
3,4,0.332280979,2
2,1,0.414011502,5
2,1,0.585988498,5
3,1,0.309561675,4
3,1,0.336259858,4
3,1,0.354178467,4
3,1,0.284783777,5
3,1,0.369715134,5
3,1,0.345501089,5
3,1,0.135913939,5
3,1,0.350091946,5
3,1,0.513994115,5
3,1,0.212798792,5
3,1,0.351796427,5
3,1,0.435404781,5
3,1,0.315300468,5
3,1,0.370106371,5
3,1,0.314593162,5
3,1,0.261028871,5
3,1,0.357479349,5
3,1,0.38149178,5
3,2,0.210236104,4
3,2,0.296031406,4
3,2,0.21064318,4
3,2,0.3406995,4
3,2,0.579120716,4
3,2,0.363269094,4
3,1,0.179851784,4
3,1,0.41520929,4
3,1,0.404938926,4
3,1,0.184813879,4
3,1,0.339392587,4
3,1,0.475793534,4
2,1,0.271777298,5
2,1,0.728222702,5
3,1,0.310170916,5
3,1,0.362473148,5
3,1,0.327355935,5
3,1,0.222982935,5
3,1,0.393550136,5
3,1,0.383466929,5
3,1,0.224134885,4
3,1,0.393664004,4
3,1,0.382201111,4
3,2,0.067485898,1
3,2,0.121359561,1
3,2,0.288396454,1
3,2,0.344616668,1
3,2,0.644117647,1
3,2,0.534023771,1
3,1,0.216274384,3
3,1,0.326289037,3
3,1,0.457436578,3
3,1,0.172905806,3
3,1,0.324501892,3
3,1,0.502592302,3
2,1,0.228053958,5
2,1,0.771946042,5
3,4,0.117932702,1
3,4,0.200186304,1
3,4,0.11667298,1
3,4,0.19202873,1
3,4,0.338982728,1
3,4,0.356230656,1
3,4,0.346284972,1
3,4,0.333427223,1
3,4,0.54308457,1
3,4,0.44358304,1
3,4,0.537042048,1
3,4,0.474544046,1
3,1,0.26344692,3
3,1,0.377598495,3
3,1,0.358954585,3
3,1,0.265940543,5
3,1,0.327310016,5
3,1,0.406749441,5
3,1,0.141561227,4
3,1,0.362609908,4
3,1,0.495828866,4
3,1,0.286434494,5
3,1,0.327852405,5
3,1,0.385713101,5
3,1,0.202814801,3
3,1,0.292043372,3
3,1,0.505141827,3
3,1,0.174212165,4
3,1,0.393059458,4
3,1,0.432728377,4
3,1,0.242246795,5
3,1,0.39465306,5
3,1,0.363100145,5
3,1,0.203922455,5
3,1,0.374969385,5
3,1,0.42110816,5
3,4,0.098066825,2
3,4,0.208848999,2
3,4,0.1481511,2
3,4,0.271312907,2
3,4,0.356771979,2
3,4,0.374645023,2
3,4,0.230674211,2
3,4,0.45213526,2
3,4,0.545161196,2
3,4,0.416505978,2
3,4,0.621174689,2
3,4,0.276551834,2
3,1,0.148990095,4
3,1,0.341796248,4
3,1,0.509213657,4
3,1,0.202309852,5
3,1,0.31891347,5
3,1,0.478776678,5
3,6,0.374389711,2
3,6,0.182590344,2
3,6,0.356954075,2
3,6,0.077779104,2
3,6,0.498104912,2
3,6,0.00678058,2
3,6,0.126106458,2
3,6,0.363226596,2
3,6,0.285718728,2
3,6,0.30741691,2
3,6,0.003790176,2
3,6,0.00678058,2
3,6,0.49950383,2
3,6,0.454183059,2
3,6,0.357327198,2
3,6,0.614803986,2
3,6,0.498104912,2
3,6,0.986438839,2
3,1,0.14114297,4
3,1,0.38285545,4
3,1,0.47600158,4
3,1,0.186606114,4
3,1,0.387826205,4
3,1,0.425567681,4
3,1,0.187317509,3
3,1,0.32166535,3
3,1,0.491017141,3
3,2,0.196693249,1
3,2,0.184594032,1
3,2,0.342031648,1
3,2,0.322692575,1
3,2,0.461275103,1
3,2,0.492713393,1
3,2,0.239461984,2
3,2,0.250088402,2
3,2,0.416230514,2
3,2,0.389321075,2
3,2,0.344307502,2
3,2,0.360590523,2
2,1,0.385680509,5
2,1,0.614319491,5
3,1,0.213781414,4
3,1,0.290863457,4
3,1,0.495355129,4
3,4,0.208938428,2
3,4,0.126035144,2
3,4,0.145853194,2
3,4,0.20181173,2
3,4,0.291677831,2
3,4,0.374974753,2
3,4,0.356530029,2
3,4,0.135879716,2
3,4,0.499383741,2
3,4,0.498990103,2
3,4,0.497616778,2
3,4,0.662308554,2
2,1,0.417324578,5
2,1,0.582675422,5
3,1,0.249615878,5
3,1,0.353970463,5
3,1,0.396413658,5
3,1,0.205001712,5
3,1,0.346150432,5
3,1,0.448847856,5
3,1,0.357713807,5
3,1,0.273684019,5
3,1,0.368602174,5
3,1,0.192960935,5
3,1,0.321854032,5
3,1,0.485185033,5
3,1,0.189549635,5
3,1,0.320623314,5
3,1,0.48982705,5
3,1,0.256964634,5
3,1,0.349585074,5
3,1,0.393450292,5
3,1,0.17208757,4
3,1,0.391719175,4
3,1,0.436193255,4
3,2,0.181159754,3
3,2,0.169045562,3
3,2,0.328305589,3
3,2,0.307760207,3
3,2,0.490534658,3
3,2,0.523194231,3
3,2,0.084151698,4
3,2,0.084028344,4
3,2,0.250132242,4
3,2,0.249994774,4
3,2,0.66571606,4
3,2,0.665976882,4
3,1,0.170130179,5
3,1,0.355964986,5
3,1,0.473904835,5
2,1,0.35472391,5
2,1,0.64527609,5
3,4,0.001772233,2
3,4,0.005361355,2
3,4,0.094257883,2
3,4,0.173591198,2
3,4,0.200510403,2
3,4,0.661269569,2
3,4,0.624806364,2
3,4,0.237376886,2
3,4,0.797717364,2
3,4,0.333369076,2
3,4,0.280935752,2
3,4,0.589031916,2
3,2,0.196436128,3
3,2,0.135232912,3
3,2,0.549724926,3
3,2,0.376036498,3
3,2,0.253838946,3
3,2,0.488730591,3
3,2,0.295704254,2
3,2,0.290718967,2
3,2,0.348781495,2
3,2,0.396684657,2
3,2,0.35551425,2
3,2,0.312596376,2
3,1,0.172988112,4
3,1,0.356434169,4
3,1,0.47057772,4
3,1,0.160407781,3
3,1,0.352467776,3
3,1,0.487124443,3
3,2,0.099691745,1
3,2,0.182778181,1
3,2,0.299551718,1
3,2,0.262213673,1
3,2,0.600756537,1
3,2,0.555008146,1
3,1,0.185811717,5
3,1,0.304318857,5
3,1,0.509869426,5
2,1,0.227186395,5
2,1,0.772813605,5
2,1,0.274519727,5
2,1,0.725480273,5
3,4,0.139128464,2
3,4,0.141786956,2
3,4,0.261371589,2
3,4,0.085598544,2
3,4,0.296556084,2
3,4,0.283102521,2
3,4,0.089223233,2
3,4,0.168320319,2
3,4,0.564315452,2
3,4,0.575110522,2
3,4,0.649405178,2
3,4,0.746081137,2
3,1,0.211810314,5
3,1,0.393807678,5
3,1,0.394382008,5
3,4,0.146608901,1
3,4,0.128857064,1
3,4,0.168839521,1
3,4,0.078875639,1
3,4,0.292414336,1
3,4,0.206171302,1
3,4,0.291142941,1
3,4,0.384554231,1
3,4,0.560976763,1
3,4,0.664971634,1
3,4,0.540017539,1
3,4,0.536570131,1
2,1,0.453046151,5
2,1,0.546953849,5
3,1,0.252202561,4
3,1,0.337359922,4
3,1,0.410437517,4
3,1,0.174957384,5
3,1,0.278413141,5
3,1,0.546629475,5
2,1,0.299758643,4
2,1,0.700241357,4
3,2,0.167401063,3
3,2,0.233471482,3
3,2,0.304826331,3
3,2,0.327863768,3
3,2,0.527772606,3
3,2,0.438664749,3
3,3,0.216920593,2
3,3,0.1692183,2
3,3,0.219486875,2
3,3,0.341572942,2
3,3,0.298270893,2
3,3,0.500667359,2
3,3,0.441506465,2
3,3,0.532510807,2
3,3,0.279845766,2
3,1,0.193014965,4
3,1,0.409300838,4
3,1,0.397684197,4
3,6,0.067831797,2
3,6,0.00143209,2
3,6,0.001551639,2
3,6,0.33307536,2
3,6,0.003790176,2
3,6,0.00675767,2
3,6,0.399576316,2
3,6,0.399295412,2
3,6,0.285935948,2
3,6,0.167327722,2
3,6,0.498104912,2
3,6,0.98648466,2
3,6,0.532591886,2
3,6,0.599272498,2
3,6,0.712512413,2
3,6,0.499596917,2
3,6,0.498104912,2
3,6,0.00675767,2
3,2,0.509153189,3
3,2,0.290213241,3
3,2,0.375579648,3
3,2,0.381190055,3
3,2,0.115267163,3
3,2,0.328596704,3
3,1,0.119904269,5
3,1,0.422556522,5
3,1,0.457539209,5
3,2,0.199793375,1
3,2,0.207610147,1
3,2,0.420749183,1
3,2,0.38439131,1
3,2,0.379457442,1
3,2,0.407998544,1
3,2,0.184162198,2
3,2,0.196234028,2
3,2,0.328362595,2
3,2,0.340215198,2
3,2,0.487475208,2
3,2,0.463550773,2
3,2,0.088646437,3
3,2,0.157974208,3
3,2,0.279360258,3
3,2,0.255876592,3
3,2,0.631993305,3
3,2,0.5861492,3
2,1,0.291276656,5
2,1,0.708723344,5
3,2,0.172323337,1
3,2,0.187883813,1
3,2,0.382167858,1
3,2,0.353017387,1
3,2,0.445508806,1
3,2,0.4590988,1
3,1,0.195385203,5
3,1,0.273515854,5
3,1,0.531098943,5
3,4,0.131783656,1
3,4,0.097734884,1
3,4,0.174271845,1
3,4,0.201411858,1
3,4,0.394447355,1
3,4,0.347198706,1
3,4,0.343980583,1
3,4,0.398035247,1
3,4,0.473768989,1
3,4,0.555066411,1
3,4,0.481747573,1
3,4,0.400552895,1
3,1,0.13887875,5
3,1,0.358482892,5
3,1,0.502638357,5
3,2,0.146325161,4
3,2,0.174275728,4
3,2,0.341896674,4
3,2,0.435122737,4
3,2,0.511778164,4
3,2,0.390601535,4
2,1,0.339992184,5
2,1,0.660007816,5
2,1,0.314803813,5
2,1,0.685196187,5
3,1,0.287956177,5
3,1,0.474029659,5
3,1,0.238014163,5
3,1,0.227342032,5
3,1,0.34612686,5
3,1,0.426531108,5
3,4,0.193458552,2
3,4,0.348180189,2
3,4,0.215322802,2
3,4,0.095942721,2
3,4,0.394651209,2
3,4,0.325851454,2
3,4,0.380695827,2
3,4,0.544152745,2
3,4,0.411890239,2
3,4,0.325968358,2
3,4,0.403981372,2
3,4,0.359904535,2
3,2,0.122940943,5
