index,time,exposure_time,mcode,product_code,product_name,category,price,salesAMT,time_month,time_day,time_hour,time_min,day_of_the_week,day_of_year,quater,season,sales,FP,UFP,discomfort_index,p_div,pgr1,pgr2,pgr3,pgr1_ratio,pgr2_ratio,pgr3_ratio
59,2019-01-02 0:00,60,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,clothes,69900,25577000,1,1,24,0,1,2,1,3,365.9084406,24.12,15.2,32.72125,3,6445000,8491000,10641000,0.251984205,0.331977949,0.416037847
64,2019-01-02 1:00,57.1,100193,200652,레이프릴 무빙 맥시풀커버 브라팬티,underwear,69900,43858000,1,1,25,0,1,2,1,3,627.4391989,25.72,16.36,32.72125,3,9647000,15516000,18695000,0.21995987,0.353778102,0.426262027
67,2019-01-02 6:00,60,100229,200800,벨라홈 논슬립 옷걸이 세트,necessaries,29800,35241000,1,2,6,0,2,2,1,3,1182.583893,26.24,17.52,34.134372,3,9605000,11265000,14371000,0.272551857,0.319656082,0.40779206
70,2019-01-02 7:00,60,100315,201002,(직매입) 종근당건강 아이클리어 루테인,health,69000,70951000,1,2,7,0,2,2,1,3,1028.275362,29.52,20.6,34.134372,3,14944000,25881000,30126000,0.210624234,0.364772871,0.424602895
73,2019-01-02 8:00,60,100305,200974,오모떼 레이스 파운데이션 브라,underwear,59000,67533000,1,2,8,0,2,2,1,3,1144.627119,31.6,21.52,34.134372,3,11314000,21397000,34822000,0.16753291,0.316837694,0.515629396
76,2019-01-02 9:00,60,100454,201409,NNF 쿠션퍼자켓+베스트,clothes,39900,74098000,1,2,9,0,2,2,1,3,1857.092732,34.64,24.68,34.134372,3,12607000,23042000,38449000,0.170139545,0.310966558,0.518893897
79,2019-01-02 10:00,60,100448,202098,일시불 쿠첸 풀스텐 압력밥솥 10인용 (A1),kitchen,158000,78940000,1,2,10,0,2,2,1,3,499.6202532,38.4,24.92,34.134372,3,7239000,27223000,44478000,0.091702559,0.344856853,0.563440588
80,2019-01-02 10:00,60,100448,202093,무이자 쿠첸 풀스텐 압력밥솥 10인용(A1),kitchen,168000,40950000,1,2,10,0,2,2,1,3,243.75,38.4,24.92,34.134372,3,8951000,13074000,18925000,0.218583639,0.319267399,0.462148962
81,2019-01-02 10:00,60,100448,202100,일시불 쿠첸 풀스텐 압력밥솥 6인용(A1),kitchen,148000,24550000,1,2,10,0,2,2,1,3,165.8783784,38.4,24.92,34.134372,3,2118000,9408000,13024000,0.086272912,0.383217923,0.530509165
82,2019-01-02 10:00,60,100448,202095,무이자 쿠첸 풀스텐 압력밥솥 6인용(A1),kitchen,158000,10137000,1,2,10,0,2,2,1,3,64.15822785,38.4,24.92,34.134372,3,2262000,4507000,3368000,0.223142942,0.444608859,0.3322482
91,2019-01-02 11:00,60,100271,200896,헤스티지 엘레나 라쿤양가죽 콤비 롱코트,clothes,299000,96155000,1,2,11,0,2,2,1,3,321.5886288,40.84,25.72,34.134372,2,29763000,66392000,0,0.309531486,0.690468514,0
93,2019-01-02 12:00,60,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,kitchen,238000,53370000,1,2,12,0,2,2,1,3,224.2436975,38.84,23.88,34.134372,3,10107000,17801000,25462000,0.189376054,0.333539442,0.477084504
94,2019-01-02 12:00,60,100765,202238,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,kitchen,228000,41430000,1,2,12,0,2,2,1,3,181.7105263,38.84,23.88,34.134372,3,2270000,17732000,21428000,0.054791214,0.427999035,0.517209751
95,2019-01-02 12:00,60,100765,202229,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,kitchen,218000,18480000,1,2,12,0,2,2,1,3,84.7706422,38.84,23.88,34.134372,3,1469000,10627000,6384000,0.079491342,0.575054113,0.345454545
96,2019-01-02 12:00,60,100765,202237,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,kitchen,208000,11583000,1,2,12,0,2,2,1,3,55.6875,38.84,23.88,34.134372,3,2757000,4731000,4095000,0.238021238,0.408443408,0.353535354
105,2019-01-02 13:00,60,100844,202491,하늘내린 용대리황태10미,food,32900,112947000,1,2,13,0,2,2,1,3,3433.039514,34.28,21.68,34.134372,3,29599000,40882000,42466000,0.262060967,0.361957378,0.375981655
108,2019-01-02 14:00,60,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,underwear,109000,85256000,1,2,14,0,2,2,1,3,782.1651376,30.84,18.96,34.134372,2,28456000,56800000,0,0.33377123,0.66622877,0
110,2019-01-02 15:00,60,100253,200864,안동간고등어 20팩,food,30900,155211000,1,2,15,0,2,2,1,3,5023.009709,33.36,19.44,34.134372,3,41722000,43167000,70322000,0.268808267,0.278118175,0.453073558
113,2019-01-02 16:00,60,100722,202113,"SPC삼립 한입 호빵 13봉(혼합, 팥8+야채5봉)",food,30900,47845000,1,2,16,0,2,2,1,3,1548.381877,32.96,17.88,34.134372,3,11931000,16983000,18931000,0.24936775,0.354958721,0.395673529
114,2019-01-02 16:00,60,100722,202112,"SPC삼립 한입 호빵 13봉(단일, 팥 13봉)",food,30900,27619000,1,2,16,0,2,2,1,3,893.8187702,32.96,17.88,34.134372,3,6694000,9744000,11181000,0.242369383,0.352800608,0.404830008
119,2019-01-02 17:00,60,100801,202365,바다먹자 국내산 손질꽃게 7팩,food,59900,130196000,1,2,17,0,2,2,1,3,2173.555927,31.96,17.48,34.134372,3,30903000,50056000,49237000,0.237357523,0.384466497,0.378175981
122,2019-01-02 18:00,60,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,kitchen,89800,101053000,1,2,18,0,2,2,1,3,1125.311804,34.8,21.28,34.134372,3,22422000,33817000,44814000,0.221883566,0.334646176,0.443470258
125,2019-01-02 19:00,60,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,food,59900,128485000,1,2,19,0,2,2,1,3,2144.991653,38.44,24.44,34.134372,3,25985000,36647000,65853000,0.202241507,0.285223956,0.512534537
128,2019-01-02 20:00,60,100610,201901,푸마 코튼 라이크라 드로즈 12종,underwear,89000,112405000,1,2,20,0,2,2,1,3,1262.977528,38.76,26.4,34.134372,3,18424000,41096000,52885000,0.163907299,0.365606512,0.470486188
129,2019-01-02 20:00,60,100610,201862,푸마 INNO 심리스 롱드로즈 7종,underwear,89000,6026000,1,2,20,0,2,2,1,3,67.70786517,38.76,26.4,34.134372,3,422000,2575000,3029000,0.070029871,0.427314968,0.502655161
130,2019-01-02 20:00,60,100610,201880,푸마 드라이셀라인 뉴 런닝 9종,underwear,89000,9321000,1,2,20,0,2,2,1,3,104.7303371,38.76,26.4,34.134372,3,1506000,3660000,4155000,0.161570647,0.392661732,0.445767621
137,2019-01-02 21:00,60,100155,200554,일시불 LG전자 매직스페이스 냉장고,electronics,1409000,61526000,1,2,21,0,2,2,1,3,43.66643009,44.32,30.48,34.134372,3,14485000,25312000,21729000,0.235428924,0.411403309,0.353167766
138,2019-01-02 21:00,60,100155,200487,무이자 LG전자 매직스페이스 냉장고,electronics,1549000,47841000,1,2,21,0,2,2,1,3,30.88508715,44.32,30.48,34.134372,3,11986000,11960000,23895000,0.250538241,0.249994774,0.499466984
143,2019-01-02 22:00,60,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,electronics,1300000,12659000,1,2,22,0,2,2,1,3,9.737692308,46.08,29.8,34.134372,3,3177000,3177000,6305000,0.250967691,0.250967691,0.498064618
144,2019-01-02 22:00,60,100148,200432,무이자 LG 울트라HD TV 55UK6800HNC,electronics,1440000,10574000,1,2,22,0,2,2,1,3,7.343055556,46.08,29.8,34.134372,3,50000,3541000,6983000,0.00472858,0.334878003,0.660393418
145,2019-01-02 22:00,60,100148,200508,일시불 LG 울트라HD TV 65UK6800HNC,electronics,1900000,82649000,1,2,22,0,2,2,1,3,43.49947368,46.08,29.8,34.134372,3,13796000,32123000,36730000,0.16692277,0.388667739,0.444409491
146,2019-01-02 22:00,60,100148,200441,무이자 LG 울트라HD TV 65UK6800HNC,electronics,2130000,30986000,1,2,22,0,2,2,1,3,14.54741784,46.08,29.8,34.134372,3,10329000,5189000,15468000,0.333344091,0.167462725,0.499193184
147,2019-01-02 22:00,60,100148,200518,일시불 LG 울트라HD TV 70UK7400KNA,electronics,2700000,150000,1,2,22,0,2,2,1,3,0.055555556,46.08,29.8,34.134372,3,50000,50000,50000,0.333333333,0.333333333,0.333333333
148,2019-01-02 22:00,60,100148,200451,무이자 LG 울트라HD TV 70UK7400KNA,electronics,2990000,14623000,1,2,22,0,2,2,1,3,4.890635452,46.08,29.8,34.134372,3,50000,50000,14523000,0.003419271,0.003419271,0.993161458
161,2019-01-02 23:00,60,100664,202004,크로커다일 풀커버 레이스 브라팬티 4세트,underwear,79900,106570000,1,2,23,0,2,2,1,3,1333.79224,45.12,29.76,34.134372,3,29048000,46224000,31298000,0.272572018,0.43374308,0.293684902
164,2019-01-03 0:00,40,100346,201072,테이트 남성 셀린니트3종,clothes,39900,17810000,1,2,24,0,2,3,1,3,446.3659148,37.76,23.68,34.134372,2,7329000,10481000,0,0.411510387,0.588489613,0
165,2019-01-03 0:00,40,100346,201079,테이트 여성 셀린니트3종,clothes,39900,34570000,1,2,24,0,2,3,1,3,866.4160401,37.76,23.68,34.134372,2,12050000,22520000,0,0.348568123,0.651431877,0
168,2019-01-03 1:00,57.1,100613,201894,푸마 웜셀 기모 치마레깅스 3종,underwear,59000,55443000,1,2,25,0,2,3,1,3,939.7118644,35.12,21.92,34.134372,3,13185000,17348000,24910000,0.237811807,0.312897931,0.449290262
171,2019-01-03 6:00,60,100781,202292,에펨 여성 미들퍼부츠,goods,39800,17104000,1,3,6,0,3,3,1,3,429.7487437,31.16,20.68,36.57218,3,2450000,5609000,9045000,0.143241347,0.327934986,0.528823667
172,2019-01-03 6:00,60,100781,202285,에펨 남성 미들퍼부츠,goods,49800,12681000,1,3,6,0,3,3,1,3,254.6385542,31.16,20.68,36.57218,3,2645000,3874000,6162000,0.208579765,0.305496412,0.485923823
177,2019-01-03 7:00,60,100582,201788,천연담아 명품다시팩 100포,food,39900,82616000,1,3,7,0,3,3,1,3,2070.576441,32.4,21.44,36.57218,3,20546000,26917000,35153000,0.248692747,0.32580856,0.425498693
180,2019-01-03 8:00,60,100774,202261,엘렌실라 달팽이크림(콜라겐5+팩트3),beauty,79000,76661000,1,3,8,0,3,3,1,3,970.3924051,36.16,23.92,36.57218,3,13665000,26788000,36208000,0.178252306,0.349434523,0.472313171
183,2019-01-03 9:00,60,100600,201840,로베르타 디 까메리노 노벨라백 2종,goods,39000,73259000,1,3,9,0,3,3,1,3,1878.435897,41.28,27.08,36.57218,3,17518000,19488000,36253000,0.239124203,0.266015097,0.4948607
186,2019-01-03 10:00,60,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,underwear,109000,102903000,1,3,10,0,3,3,1,3,944.0642202,44.64,27.32,36.57218,2,32763000,70140000,0,0.318387219,0.681612781,0
188,2019-01-03 11:00,60,100816,202404,보코 리버시블 무스탕,clothes,79000,84789000,1,3,11,0,3,3,1,3,1073.278481,46.72,28.6,36.57218,3,16785000,32391000,35613000,0.197962,0.382018894,0.420019106
191,2019-01-03 12:00,60,100315,201002,(직매입) 종근당건강 아이클리어 루테인,health,69000,88529000,1,3,12,0,3,3,1,3,1283.028986,48.64,30,36.57218,3,18481000,24779000,45269000,0.208756453,0.279896983,0.511346564
194,2019-01-03 13:00,60,100074,200197,비버리힐스폴로클럽 남성기초세트(2018FW골드),beauty,39800,116724000,1,3,13,0,3,3,1,3,2932.763819,41,23.64,36.57218,3,30273000,41669000,44782000,0.259355402,0.356987423,0.383657174
197,2019-01-03 14:00,60,100255,200868,한일 대용량 스텐 분쇄믹서기,kitchen,109800,119902000,1,3,14,0,3,3,1,3,1092.003643,33.64,18.4,36.57218,3,22816000,47947000,49139000,0.190288736,0.399884906,0.409826358
200,2019-01-03 15:00,60,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,kitchen,218000,61373000,1,3,15,0,3,3,1,3,281.5275229,34.08,19.56,36.57218,3,13222000,31827000,16324000,0.215436756,0.51858309,0.265980154
201,2019-01-03 15:00,60,100837,202458,(도냄)일시불 쿠쿠전기밥솥 10인용,kitchen,208000,59276000,1,3,15,0,3,3,1,3,284.9807692,34.08,19.56,36.57218,3,9656000,24436000,25184000,0.162898981,0.412241042,0.424859977
202,2019-01-03 15:00,60,100837,202456,(도냄)무이자 쿠쿠전기밥솥 6인용,kitchen,208000,13447000,1,3,15,0,3,3,1,3,64.64903846,34.08,19.56,36.57218,3,1530000,5224000,6693000,0.113780025,0.388488139,0.497731836
203,2019-01-03 15:00,60,100837,202457,(도냄)일시불  쿠쿠전기밥솥 6인용,kitchen,198000,14227000,1,3,15,0,3,3,1,3,71.85353535,34.08,19.56,36.57218,3,4272000,6379000,3576000,0.300274127,0.448372812,0.251353061
212,2019-01-03 16:00,60,100832,202444,청정수산 완도활전복 35미,food,59900,134221000,1,3,16,0,3,3,1,3,2240.751252,29.6,17.64,36.57218,3,26611000,47757000,59853000,0.198262567,0.355808704,0.445928729
215,2019-01-03 17:00,60,100496,201497,뽕셰프 이봉원 특갈비탕 12팩,food,60900,76649000,1,3,17,0,3,3,1,3,1258.604269,33.32,18.32,36.57218,3,16350000,33015000,27284000,0.213310024,0.43072969,0.355960287
218,2019-01-03 18:00,60,100702,202074,영산포숙성 홍어8팩+무침3통,food,40900,148904000,1,3,18,0,3,3,1,3,3640.684597,35.4,20.4,36.57218,3,29976000,51728000,67200000,0.201310912,0.347391608,0.45129748
221,2019-01-03 19:00,60,100610,201860,푸마 INNO 심리스 드로즈 (6차),underwear,89000,71433000,1,3,19,0,3,3,1,3,802.6179775,42.64,21.72,36.57218,3,11888000,19216000,40329000,0.166421682,0.269007322,0.564570997
222,2019-01-03 19:00,60,100610,201861,푸마 INNO 심리스 롱드로즈 (1차),underwear,89000,13897000,1,3,19,0,3,3,1,3,156.1460674,42.64,21.72,36.57218,3,1879000,7147000,4871000,0.135209038,0.514283658,0.350507304
223,2019-01-03 19:00,60,100610,201865,푸마 NEW 트렁크 패키지,underwear,89000,10129000,1,3,19,0,3,3,1,3,113.8089888,42.64,21.72,36.57218,3,3419000,2252000,4458000,0.337545661,0.222331918,0.440122421
230,2019-01-03 20:00,60,100501,201514,노비타 스마트 비데,necessaries,189000,232596000,1,3,20,0,3,3,1,3,1230.666667,46.12,23.4,36.57218,3,41183000,83995000,107418000,0.177058075,0.36111971,0.461822215
233,2019-01-03 21:00,60,100148,200499,일시불 LG 울트라HD TV 55UK6800HNC,electronics,1300000,25217000,1,3,21,0,3,3,1,3,19.39769231,42,25.76,36.57218,3,6305000,9432000,9480000,0.250029742,0.37403339,0.375936868
234,2019-01-03 21:00,60,100148,200432,무이자 LG 울트라HD TV 55UK6800HNC,electronics,1440000,31423000,1,3,21,0,3,3,1,3,21.82152778,42,25.76,36.57218,3,3517000,10450000,17456000,0.111924387,0.332558954,0.55551666
235,2019-01-03 21:00,60,100148,200508,일시불 LG 울트라HD TV 65UK6800HNC,electronics,1900000,45969000,1,3,21,0,3,3,1,3,24.19421053,42,25.76,36.57218,3,50000,9214000,36705000,0.00108769,0.200439427,0.798472884
236,2019-01-03 21:00,60,100148,200441,무이자 LG 울트라HD TV 65UK6800HNC,electronics,2130000,46430000,1,3,21,0,3,3,1,3,21.79812207,42,25.76,36.57218,3,20608000,50000,25772000,0.443850958,0.00107689,0.555072152
237,2019-01-03 21:00,60,100148,200518,일시불 LG 울트라HD TV 70UK7400KNA,electronics,2700000,19738000,1,3,21,0,3,3,1,3,7.31037037,42,25.76,36.57218,3,6571000,6596000,6571000,0.332911136,0.334177728,0.332911136
238,2019-01-03 21:00,60,100148,200451,무이자 LG 울트라HD TV 70UK7400KNA,electronics,2990000,7399000,1,3,21,0,3,3,1,3,2.47458194,42,25.76,36.57218,3,7299000,50000,50000,0.98648466,0.00675767,0.00675767
251,2019-01-03 22:00,60,100718,202108,로베르타 디 까메리노 올레이스 지퍼브라팬티,underwear,89900,87262000,1,3,22,0,3,3,1,3,970.6562848,38.72,24.08,36.57218,3,18030000,26566000,42666000,0.206619147,0.304439504,0.488941349
254,2019-01-03 23:00,60,100377,201225,그렉노먼 남성 캐시터치 터틀넥 4종,clothes,69900,39733000,1,3,23,0,3,3,1,3,568.4263233,39.24,26.48,36.57218,3,6925000,13850000,18958000,0.174288375,0.34857675,0.477134875
255,2019-01-03 23:00,60,100377,201231,그렉노먼 여성 캐시터치 터틀넥 4종,clothes,69900,39929000,1,3,23,0,3,3,1,3,571.230329,39.24,26.48,36.57218,3,15039000,12274000,12616000,0.376643542,0.307395627,0.31596083
260,2019-01-04 0:00,60,100049,202044,마리노블 밍크 롱코트,clothes,499000,57383000,1,3,24,0,3,4,1,3,114.995992,43.6,28.68,36.57218,3,11512000,19019000,26852000,0.200616907,0.331439625,0.467943468
263,2019-01-04 1:00,57.1,100229,200800,벨라홈 논슬립 옷걸이 세트,necessaries,29800,48878000,1,3,25,0,3,4,1,3,1640.201342,48.52,31.68,36.57218,3,9780000,18124000,20974000,0.20009002,0.370800769,0.429109211
266,2019-01-04 6:00,60,100651,201972,제주농장 유기 양배추진액 120포,health,74900,71174000,1,4,6,0,4,4,1,3,950.2536716,47.8,32.2,36.868105,3,10439000,17055000,43680000,0.146668727,0.23962402,0.613707253
269,2019-01-04 7:00,20,100226,201019,코이모 리빙박스 8종,necessaries,49800,10166000,1,4,7,0,4,4,1,3,204.1365462,50.96,33.92,36.868105,1,10166000,0,0,1,0,0
270,2019-01-04 7:20,40,100226,200789,코이모 리빙박스 8종,necessaries,49800,67545000,1,4,7,20,4,4,1,3,1356.325301,50.96,33.92,36.868105,2,31092000,36453000,0,0.460315345,0.539684655,0
272,2019-01-04 8:00,60,100717,202101,로베르타 디 까메리노 360커브드 지퍼 쉐이핑 란쥬,underwear,89900,62837000,1,4,8,0,4,4,1,3,698.9655172,50.36,33.6,36.868105,3,6122000,22625000,34090000,0.097426675,0.360058564,0.54251476
275,2019-01-04 9:00,60,100765,202230,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 3구,kitchen,238000,43257000,1,4,9,0,4,4,1,3,181.7521008,55.48,36,36.868105,3,5440000,14685000,23132000,0.125759993,0.339482627,0.53475738
276,2019-01-04 9:00,60,100765,202238,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 3구,kitchen,228000,27402000,1,4,9,0,4,4,1,3,120.1842105,55.48,36,36.868105,3,2285000,8150000,16967000,0.083388074,0.297423546,0.61918838
277,2019-01-04 9:00,60,100765,202229,무이자 린나이 간편쿡 자동불꽃조절 가스레인지 2구,kitchen,218000,14922000,1,4,9,0,4,4,1,3,68.44954128,55.48,36,36.868105,3,1469000,4962000,8491000,0.098445249,0.332529152,0.5690256
278,2019-01-04 9:00,60,100765,202237,일시불 린나이 간편쿡 자동불꽃조절 가스레인지 2구,kitchen,208000,5534000,1,4,9,0,4,4,1,3,26.60576923,55.48,36,36.868105,3,1403000,1389000,2742000,0.253523672,0.250993856,0.495482472
287,2019-01-04 10:00,60,100837,202455,(도냄)무이자 쿠쿠전기밥솥 10인용,kitchen,218000,59016000,1,4,10,0,4,4,1,3,270.7155963,62.2,39.56,36.868105,3,6251000,17861000,34904000,0.105920428,0.30264674,0.591432832
288,2019-01-04 10:00,60,100837,202458,(도냄)일시불 쿠쿠전기밥솥 10인용,kitchen,208000,49659000,1,4,10,0,4,4,1,3,238.7451923,62.2,39.56,36.868105,3,7445000,12608000,29606000,0.149922471,0.25389154,0.596185988
289,2019-01-04 10:00,60,100837,202456,(도냄)무이자 쿠쿠전기밥솥 6인용,kitchen,208000,11236000,1,4,10,0,4,4,1,3,54.01923077,62.2,39.56,36.868105,3,3010000,50000,8176000,0.267888928,0.004449982,0.727661089
290,2019-01-04 10:00,60,100837,202457,(도냄)일시불  쿠쿠전기밥솥 6인용,kitchen,198000,14937000,1,4,10,0,4,4,1,3,75.43939394,62.2,39.56,36.868105,3,2161000,4978000,7798000,0.144674299,0.333266385,0.522059316
299,2019-01-04 11:00,60,100305,200970,오모떼 360도 텐션업 레이스 패키지 시즌4,underwear,109000,85009000,1,4,11,0,4,4,1,3,779.8990826,72.88,46,36.868105,2,28056000,56953000,0,0.330035643,0.669964357,0
301,2019-01-04 12:00,60,100253,200864,안동간고등어 20팩,food,30900,125512000,1,4,12,0,4,4,1,3,4061.877023,69.76,44.28,36.868105,3,30671000,44792000,50049000,0.244367072,0.356874243,0.398758684
304,2019-01-04 13:00,60,100255,200868,한일 대용량 스텐 분쇄믹서기,kitchen,109800,92222000,1,4,13,0,4,4,1,3,839.9089253,71,47.24,36.868105,3,17529000,31775000,42918000,0.190073952,0.344549023,0.465377025
307,2019-01-04 14:00,60,100305,200974,오모떼 레이스 파운데이션 브라,underwear,59000,87263000,1,4,14,0,4,4,1,3,1479.033898,73.36,47.88,36.868105,3,17925000,31346000,37992000,0.20541352,0.359212954,0.435373526
310,2019-01-04 15:00,60,100199,200670,소들녘 소 갈비탕,food,50900,122899000,1,4,15,0,4,4,1,3,2414.518664,74.68,50.36,36.868105,3,28581000,32544000,61774000,0.232556815,0.264802806,0.502640379
313,2019-01-04 16:00,60,100844,202491,하늘내린 용대리황태10미,food,32900,115409000,1,4,16,0,4,4,1,3,3507.87234,74.68,52.08,36.868105,3,26530000,40568000,48311000,0.229878086,0.351515046,0.418606868
316,2019-01-04 17:00,60,100231,200819,키친플라워 대용량 디지털 에어프라이어 5L,kitchen,89800,111035000,1,4,17,0,4,4,1,3,1236.469933,68.96,49.2,36.868105,3,19960000,37694000,53381000,0.179763138,0.339478543,0.480758319
319,2019-01-04 18:00,60,100491,201483,피시원 국내산 손질 대구 8팩 * 매운탕 양념 8팩,food,59900,140992000,1,4,18,0,4,4,1,3,2353.789649,58.08,40.2,36.868105,3,30754000,43797000,66441000,0.218125851,0.310634646,0.471239503
322,2019-01-04 19:00,60,100150,200533,일시불 LG 통돌이 세탁기,electronics,439000,86664000,1,4,19,0,4,4,1,3,197.4123007,54.24,39.48,36.868105,3,19875000,21358000,45431000,0.22933398,0.246446044,0.524219976
